time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1499254962891789,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891791,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891792,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891793,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891794,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891795,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891796,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891797,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891798,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891799,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891800,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891801,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891802,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891803,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891804,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891805,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891806,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891807,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891807,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891809,17,76,192.168.10.17,192.168.10.255,137,137
1499254962899854,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899859,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899861,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899862,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899863,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899864,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899866,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899867,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899868,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899869,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899870,17,243,192.168.10.17,192.168.10.255,138,138
1499254962899871,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899872,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899873,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899874,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899875,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899877,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899878,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899879,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899880,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899881,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899882,17,58,192.168.10.17,192.168.10.255,137,137
1499254962899988,17,70,192.168.10.50,192.168.10.17,137,137
1499254962899991,17,70,192.168.10.50,192.168.10.17,137,137
1499254962919285,17,56,132.163.4.101,192.168.10.19,123,123
1499254962930222,17,56,99.224.25.39,192.168.10.19,123,123
1499254962941237,6,309,40.83.143.209,192.168.10.14,443,49460
1499254962946467,17,56,38.126.113.10,192.168.10.19,123,123
1499254962964270,17,56,192.168.10.17,192.168.10.3,123,123
1499254962964317,17,56,192.168.10.17,192.168.10.3,123,123
1499254962964384,17,56,192.168.10.3,192.168.10.17,123,123
1499254962964386,17,56,192.168.10.3,192.168.10.17,123,123
1499254962992908,6,6,192.168.10.14,40.83.143.209,49460,443
1499254963082839,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082844,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082845,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082846,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082848,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082849,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082850,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082851,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082853,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082854,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963082855,17,187,192.168.10.17,224.0.0.251,5353,5353
1499254963102297,17,42,192.168.10.17,192.168.10.3,3186,53
1499254963102345,17,42,192.168.10.17,192.168.10.3,3186,53
1499254963102346,17,42,192.168.10.17,192.168.10.3,31744,53
1499254963102347,17,42,192.168.10.17,192.168.10.3,31744,53
1499254963102511,17,74,192.168.10.3,192.168.10.17,53,3186
1499254963102513,17,74,192.168.10.3,192.168.10.17,53,3186
1499254963102583,17,103,192.168.10.3,192.168.10.17,53,31744
1499254963102584,17,103,192.168.10.3,192.168.10.17,53,31744
1499254963108434,6,277,192.168.10.14,40.83.143.209,49461,443
1499254963108519,6,1440,192.168.10.14,40.83.143.209,49461,443
1499254963108569,6,2165,192.168.10.14,40.83.143.209,49461,443
1499254963194854,6,6,40.83.143.209,192.168.10.14,443,49461
1499254963195220,6,6,40.83.143.209,192.168.10.14,443,49461
1499254963389911,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389916,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389917,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389918,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389920,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389921,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389922,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389923,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389925,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389926,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389927,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963389980,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389982,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389983,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389984,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389985,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389987,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389988,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389989,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389990,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389991,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963389992,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963514869,6,869,40.83.143.209,192.168.10.14,443,49461
1499254963561814,6,6,192.168.10.14,40.83.143.209,49461,443
1499254963604097,6,400,192.168.10.12,192.168.10.3,59656,3268
1499254963604101,6,400,192.168.10.12,192.168.10.3,59656,3268
1499254963604454,6,622,192.168.10.3,192.168.10.12,3268,59656
1499254963604456,6,622,192.168.10.3,192.168.10.12,3268,59656
1499254963640726,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640731,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640732,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640733,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640734,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640736,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640737,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640738,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640739,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640741,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640742,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963640810,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640857,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640858,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640860,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640861,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640862,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640863,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640864,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640865,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640866,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963640867,17,53,192.168.10.17,224.0.0.251,5353,5353
1499254963686500,6,277,192.168.10.14,40.83.143.209,49460,443
1499254963686589,6,1440,192.168.10.14,40.83.143.209,49460,443
1499254963686639,6,2805,192.168.10.14,40.83.143.209,49460,443
1499254963719042,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719046,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719048,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719049,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719050,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719051,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719052,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719053,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719055,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719056,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963719057,17,160,192.168.10.17,224.0.0.251,5353,5353
1499254963753276,6,145,192.168.10.12,192.168.10.3,43832,389
1499254963753280,6,145,192.168.10.12,192.168.10.3,43832,389
1499254963753591,6,241,192.168.10.3,192.168.10.12,389,43832
1499254963753595,6,241,192.168.10.3,192.168.10.12,389,43832
1499254963773060,6,6,40.83.143.209,192.168.10.14,443,49460
1499254963773321,6,6,40.83.143.209,192.168.10.14,443,49460
1499254963790882,17,56,192.168.10.16,38.126.113.10,123,123
1499254963858475,17,56,192.168.10.19,104.131.53.252,123,123
1499254963858480,17,56,192.168.10.19,158.69.223.100,123,123
1499254963858519,17,56,192.168.10.19,128.100.100.128,123,123
1499254963858521,17,56,192.168.10.19,4.53.160.75,123,123
1499254963858526,17,56,192.168.10.19,208.81.1.244,123,123
1499254963874960,17,56,158.69.223.100,192.168.10.19,123,123
1499254963879145,17,56,38.126.113.10,192.168.10.16,123,123
1499254963881117,17,56,128.100.100.128,192.168.10.19,123,123
1499254963882371,17,56,104.131.53.252,192.168.10.19,123,123
1499254963891659,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891663,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891665,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891666,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891667,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891668,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891669,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891671,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891672,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891674,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891675,17,163,192.168.10.17,224.0.0.251,5353,5353
1499254963891746,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891795,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891796,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891797,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891799,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891800,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891801,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891802,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891803,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891804,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963891805,17,62,192.168.10.17,224.0.0.251,5353,5353
1499254963899094,17,56,4.53.160.75,192.168.10.19,123,123
1499254963901540,17,56,208.81.1.244,192.168.10.19,123,123
1499254963966914,6,869,40.83.143.209,192.168.10.14,443,49460
1499254963992397,6,6,192.168.10.9,192.168.10.3,13784,445
1499254963992445,6,6,192.168.10.9,192.168.10.3,13784,445
1499254963992447,6,159,192.168.10.9,192.168.10.3,13784,445
1499254963992448,6,159,192.168.10.9,192.168.10.3,13784,445
1499254963992674,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992722,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992723,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992723,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992724,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992724,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992725,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992725,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992726,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992727,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992728,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963992810,6,108,192.168.10.9,192.168.10.3,13784,445
1499254963992813,6,108,192.168.10.9,192.168.10.3,13784,445
1499254963993038,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993041,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993043,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993044,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993045,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993046,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993047,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993048,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993050,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993051,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993052,6,252,192.168.10.3,192.168.10.9,445,13784
1499254963993751,6,1460,192.168.10.9,192.168.10.3,13784,445
1499254963993756,6,3073,192.168.10.9,192.168.10.3,13784,445
1499254963993759,6,1613,192.168.10.9,192.168.10.3,13784,445
1499254963993797,6,6,192.168.10.3,192.168.10.9,445,13784
1499254963993798,6,6,192.168.10.3,192.168.10.9,445,13784
1499254963994422,6,261,192.168.10.3,192.168.10.9,445,13784
1499254963994426,6,261,192.168.10.3,192.168.10.9,445,13784
1499254963994643,6,118,192.168.10.9,192.168.10.3,13784,445
1499254963994647,6,118,192.168.10.9,192.168.10.3,13784,445
1499254963994705,6,84,192.168.10.3,192.168.10.9,445,13784
1499254963994708,6,84,192.168.10.3,192.168.10.9,445,13784
1499254963994840,6,128,192.168.10.9,192.168.10.3,13784,445
1499254963994889,6,128,192.168.10.9,192.168.10.3,13784,445
1499254963994945,6,206,192.168.10.3,192.168.10.9,445,13784
1499254963994993,6,206,192.168.10.3,192.168.10.9,445,13784
1499254964013831,6,6,192.168.10.14,40.83.143.209,49460,443
1499254964092328,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092331,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092333,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092334,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092335,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092336,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092337,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092339,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092340,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092341,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964092342,17,151,192.168.10.17,224.0.0.251,5353,5353
1499254964104440,17,42,192.168.10.17,192.168.10.3,36052,53
1499254964104488,17,42,192.168.10.17,192.168.10.3,36052,53
1499254964104489,17,42,192.168.10.17,192.168.10.3,56153,53
1499254964104490,17,42,192.168.10.17,192.168.10.3,56153,53
1499254964104674,17,74,192.168.10.3,192.168.10.17,53,36052
1499254964104676,17,74,192.168.10.3,192.168.10.17,53,36052
1499254964104695,17,103,192.168.10.3,192.168.10.17,53,56153
1499254964104744,17,103,192.168.10.3,192.168.10.17,53,56153
1499254964133939,6,277,192.168.10.14,40.83.143.209,49461,443
1499254964134005,6,1440,192.168.10.14,40.83.143.209,49461,443
1499254964134054,6,2821,192.168.10.14,40.83.143.209,49461,443
1499254964205864,6,6,192.168.10.9,192.168.10.3,13784,445
1499254964205867,6,6,192.168.10.9,192.168.10.3,13784,445
1499254964220479,6,6,40.83.143.209,192.168.10.14,443,49461
1499254964220969,6,6,40.83.143.209,192.168.10.14,443,49461
1499254964562716,6,869,40.83.143.209,192.168.10.14,443,49461
1499254964613203,6,6,192.168.10.14,40.83.143.209,49461,443
1499254964698078,6,319,192.168.10.15,13.107.4.50,49451,80
1499254964720396,6,6,13.107.4.50,192.168.10.15,80,49451
1499254964722002,6,1460,13.107.4.50,192.168.10.15,80,49451
1499254964722224,6,1460,13.107.4.50,192.168.10.15,80,49451
1499254964722272,6,1460,13.107.4.50,192.168.10.15,80,49451
1499254964722310,6,6,192.168.10.15,13.107.4.50,49451,80
1499254964722464,6,1460,13.107.4.50,192.168.10.15,80,49451
1499254964722489,6,6,192.168.10.15,13.107.4.50,49451,80
1499254964722657,6,791,13.107.4.50,192.168.10.15,80,49451
1499254964787535,6,6,192.168.10.15,13.107.4.50,49451,80
1499254964790859,17,56,192.168.10.16,158.69.223.100,123,123
1499254964807596,17,56,158.69.223.100,192.168.10.16,123,123
1499254964858459,17,56,192.168.10.19,38.126.113.10,123,123
1499254964858462,17,56,192.168.10.19,132.163.4.101,123,123
1499254964892509,6,277,192.168.10.14,40.83.143.209,49460,443
1499254964892611,6,1440,192.168.10.14,40.83.143.209,49460,443
1499254964892661,6,3589,192.168.10.14,40.83.143.209,49460,443
1499254964902151,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902157,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902158,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902160,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902161,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902163,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902164,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902165,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902166,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902167,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902168,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902170,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902171,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902172,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902173,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902174,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902175,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902176,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902177,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902178,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902180,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902181,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902182,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902183,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902184,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902185,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902186,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902188,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902189,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902190,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902191,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902192,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902193,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902195,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902196,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902197,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902198,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902199,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902200,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902201,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902203,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902204,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902205,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902206,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902207,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902208,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902210,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902211,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902212,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902213,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902214,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902215,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902216,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902217,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902218,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902220,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902221,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902222,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902223,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902224,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902225,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902239,17,76,192.168.10.17,192.168.10.255,137,137
1499254964902240,17,76,192.168.10.17,192.168.10.255,137,137
